"Name","Description","List","Labels","Due Date","Members"
"[S2] SABADO 15/08 - Piloto de asistencia en una cohorte real sin papel","Planilla presente como respaldo pero sin usarla. CRITERIO: 100 por ciento registrados, tiempo menor que la linea base, y aguanto un corte de senal.","📋 Backlog Fase 1","QA/PRUEBA,BLOQUEANTE","2026-08-15","T1,T2,DP"
"[S3] Constructor de examenes con los tres tipos de pregunta","Validacion: la suma de puntos de las preguntas debe igualar el maximo del examen.","📋 Backlog Fase 1","FRONTEND","2026-08-23","T2"
"[S3] Banco de preguntas reutilizable entre examenes","Duplicar un examen o importar preguntas de otro. Ahorra horas a los profesores.","📋 Backlog Fase 1","FRONTEND,BACKEND","2026-08-23","T2"
"[S3] Publicar examen: de oculto a habilitado con notificacion","Es un evento del sistema, no un cambio visual.","📋 Backlog Fase 1","BACKEND","2026-08-23","T1"
"[S3] Presentacion del examen mobile-first con guardado automatico","Una pregunta por pantalla, guardado de cada respuesta, temporizador si aplica.","📋 Backlog Fase 1","FRONTEND","2026-08-23","T2"
"[S3] Blindar correct_answer con vista sin la columna y RLS","Doble barrera. Prueba automatizada que verifica que la respuesta correcta nunca viaja al cliente.","📋 Backlog Fase 1","SEGURIDAD/RLS,BLOQUEANTE","2026-08-23","T1"
"[S3] Edge Function grade-attempt para autocalificacion","Opcion multiple y verdadero/falso al instante. Redaccion abierta queda en cola. Nunca en el cliente.","📋 Backlog Fase 1","BACKEND","2026-08-23","T1"
"[S3] Cola de calificacion de redacciones con rubrica visible","Contador de pendientes y antiguedad, para el SLA de calificacion.","📋 Backlog Fase 1","FRONTEND","2026-08-23","T2"
"[S3] Cierre automatico del intento y notificacion de nota","Cuando ninguna respuesta queda sin puntaje, el intento pasa a calificado.","📋 Backlog Fase 1","BACKEND","2026-08-23","T1"
"[S3] Registro de notas del modulo con calc_final_score en servidor","Teoria, practica y participacion. El peso de participacion lo fija el profesor, minimo 5 por ciento. Depende de ADR-007.","📋 Backlog Fase 1","BACKEND,FRONTEND","2026-08-23","T2,T1"
"[S3] Vista de notas del estudiante con umbral de aprobacion visible","Por evaluacion y por modulo. El umbral se copia al inscribir, no se calcula al vuelo.","📋 Backlog Fase 1","FRONTEND","2026-08-23","T2"
"[S3] Auditoria de todo cambio de nota en audit_log","Estado anterior y posterior, actor y momento. Por disparador, no por codigo de aplicacion.","📋 Backlog Fase 1","BACKEND,SEGURIDAD/RLS","2026-08-23","T1"
"[S3] SABADO 22/08 - Examen digital real en una cohorte","Al menos una pregunta de cada tipo. Papel disponible como respaldo.","📋 Backlog Fase 1","QA/PRUEBA,BLOQUEANTE","2026-08-22","T1,T2,DP"
"[S4] Carga de contenido a bucket privado por modulo y semana","PDF, presentaciones e imagenes. Publicacion programada con visible_from.","📋 Backlog Fase 1","FRONTEND,BACKEND","2026-08-30","T2"
"[S4] Repositorio del estudiante con visor de PDF y zoom","Navegacion programa a modulo a semana. Descarga como respaldo.","📋 Backlog Fase 1","FRONTEND","2026-08-30","T2"
"[S4] Registro de visualizaciones de contenido","Alimenta el reporte de uso de e-learning.","📋 Backlog Fase 1","BACKEND","2026-08-30","T1"
"[S4] Feedback micro de 3 preguntas en menos de 20 segundos","Aparece automaticamente al cerrar la sesion de clase.","📋 Backlog Fase 1","FRONTEND","2026-08-30","T2"
"[S4] Agregado de feedback para el profesor nunca individual","Minimo 3 respuestas para mostrar el agregado. Es lo que hace que el feedback sea sincero.","📋 Backlog Fase 1","BACKEND,SEGURIDAD/RLS","2026-08-30","T1"
"[S4] Notificaciones Web Push con catalogo cerrado de 4 tipos","Examen habilitado, nota publicada, consentimiento pendiente, feedback disponible. Nada mas.","📋 Backlog Fase 1","BACKEND,FRONTEND","2026-08-30","T1,T2"
"[S4] Reportes de administracion exportables a CSV","Asistencia por cohorte, avance por modulo, uso de e-learning, examenes pendientes con antiguedad.","📋 Backlog Fase 1","FRONTEND","2026-08-30","T2"
"[S4] Panel de configuracion de system_config con historial","Edicion por Super Admin. Cambiar una politica pasa a ser una edicion, no un despliegue.","📋 Backlog Fase 1","FRONTEND","2026-08-30","T2"
"[S4] Revision de accesibilidad de taller","Botones grandes, alto contraste, poco texto, uso con una mano. No es cosmetico: es requisito de contexto.","📋 Backlog Fase 1","FRONTEND,QA/PRUEBA","2026-08-30","T2"
"[S4] SABADO 29/08 - Ensayo general sin papel ni soporte tecnico","Una cohorte opera el sabado completo solo con la app. CRITERIO: transcurre sin intervencion del equipo tecnico.","📋 Backlog Fase 1","QA/PRUEBA,BLOQUEANTE","2026-08-29","T1,T2,DP"
"[S5] LUN 31/08 - Congelamiento de funciones y linea de corte","A partir de aqui solo se corrigen errores. Aplicar el orden de recorte de ADR-008 si algo no llego.","📋 Backlog Fase 1","BLOQUEANTE","2026-08-31","DP,T1"
"[S5] Auditoria de seguridad: matriz de RLS tabla por tabla","Repasar cada fila de la matriz contra el codigo real. Criterio eliminatorio de la entrega.","📋 Backlog Fase 1","SEGURIDAD/RLS,BLOQUEANTE","2026-08-31","T1"
"[S5] Intento real de acceso a datos ajenos con token de estudiante","Prueba de penetracion basica con un token real de produccion.","📋 Backlog Fase 1","SEGURIDAD/RLS,QA/PRUEBA,BLOQUEANTE","2026-08-31","T1"
"[S5] Prueba de carga con 100 usuarios concurrentes","Simula el pico del sabado 5 de septiembre.","📋 Backlog Fase 1","QA/PRUEBA","2026-09-01","T1"
"[S5] Segunda restauracion de respaldo cronometrada","Criterio eliminatorio de la entrega.","📋 Backlog Fase 1","INFRA/CI,BLOQUEANTE","2026-09-01","T1"
"[S5] Migrar datos reales a produccion","Matricula completa, profesores, cohortes y guias digitalizadas.","📋 Backlog Fase 1","DATOS,BLOQUEANTE","2026-09-02","ADM,T1"
"[S5] Capacitacion de profesores de 90 minutos","Practica con sus propios telefonos, no con una demostracion en pantalla.","📋 Backlog Fase 1","EXTERNO","2026-09-02","T2,DP"
"[S5] Capacitacion de administracion de 90 minutos","Cola de consentimientos, alta de estudiantes, reportes y configuracion.","📋 Backlog Fase 1","EXTERNO","2026-09-02","T2,DP"
"[S5] Guia rapida de 1 pagina por rol impresa","Pegada en la pared del aula y de la oficina. Es la diferencia entre adopcion y regreso al papel.","📋 Backlog Fase 1","EXTERNO","2026-09-02","T2"
"[S5] JUE 03/09 - Despliegue a produccion","Nunca en viernes. Si algo se rompe, se rompe con la academia operando el sabado.","📋 Backlog Fase 1","INFRA/CI,BLOQUEANTE","2026-09-03","T1"
"[S5] JUE 03/09 - Verificacion en produccion","Registro real, escaneo real y examen de prueba sobre la base de produccion.","📋 Backlog Fase 1","QA/PRUEBA,BLOQUEANTE","2026-09-03","T1,T2"
"[S5] Plan de contingencia impreso para el sabado","Que hacer si falla la senal, la camara o el sistema. En papel, no en la app.","📋 Backlog Fase 1","QA/PRUEBA","2026-09-03","T1"
"[S5] Activar canal de soporte con responsable de guardia el sabado","Horario, canal y nombre de quien responde el 5 de septiembre.","📋 Backlog Fase 1","EXTERNO","2026-09-03","DP"
"[S5] SAB 05/09 - ENTREGA: operacion en produccion con toda la matricula","Los 8 criterios de aceptacion de 11_. Los puntos 2, 6 y 7 son eliminatorios.","📋 Backlog Fase 1","BLOQUEANTE","2026-09-05","T1,T2,DP"
"[S5] DOM 06/09 - Retrospectiva y medicion contra la linea base","Comparar los minutos reales de pase de lista y calificacion contra los medidos el 01/08.","📋 Backlog Fase 1","QA/PRUEBA","2026-09-06","T1,T2,DP"
